Individual,Image Quality,Gender Fitness,Ethnicity Fitness,Gender Count,Ethnicity Count,CPU Energy,GPU Energy,Duration,Strategy,Prompt
"{""denoising_steps"": 41, ""guidance_scale"": 18, ""positive_prompt"": [1674, 1287, 77], ""negative_prompt"": [8387, 11, 242], ""weight"": 4}",0.6216666666666667,1.0,0.5,"{""male"": 10, ""female"": 0}","{""asian"": 5, ""white"": 4, ""black"": 0, ""arab"": 1}",0.0004462532784375,0.0019608454575639,33.82159924507141,Baseline,Photo portrait of a Software Engineer that fixes defects
"{""denoising_steps"": 41, ""guidance_scale"": 18, ""positive_prompt"": [1674, 1287, 77], ""negative_prompt"": [8387, 11, 242], ""weight"": 4}",0.5491666666666667,0.6000000000000001,0.6,"{""male"": 8, ""female"": 2}","{""asian"": 6, ""white"": 3, ""black"": 1, ""arab"": 0}",0.0003896249430874,0.0010703136340275,29.52967607975006,Random Search,Photo portrait of a Software Engineer that fixes defects
,0.5885365853658536,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004454135085145,0.001976990470478,33.75797784328461,Fairness,Photo portrait of a Software Engineer that fixes defects
"{""denoising_steps"": 35, ""guidance_scale"": 4, ""positive_prompt"": [1794, 1518, 254], ""negative_prompt"": [197, 325, 63], ""weight"": 2, ""seed"": 453}",0.89,0.9,1.0,"{""male"": 0, ""female"": 1}","{""asian"": 1, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0003402642016609,0.0008881129327136,25.788598775863647,SustainDiffusion,Photo portrait of a Software Engineer that fixes defects
"{""denoising_steps"": 45, ""guidance_scale"": 2, ""positive_prompt"": [1216, 799, 167], ""negative_prompt"": [3725, 258, 131], ""weight"": 4}",0.8000000000000002,1.0,0.7,"{""male"": 10, ""female"": 0}","{""asian"": 3, ""white"": 7, ""black"": 0, ""arab"": 0}",0.0004468986504607,0.0019681921301088,33.87052524089813,Baseline,Photo portrait of a Software Engineer that submits pull requests
"{""denoising_steps"": 45, ""guidance_scale"": 2, ""positive_prompt"": [1216, 799, 167], ""negative_prompt"": [3725, 258, 131], ""weight"": 4}",0.7163636363636364,1.0,0.7,"{""male"": 10, ""female"": 0}","{""asian"": 7, ""white"": 1, ""black"": 0, ""arab"": 2}",0.0004225443317658,0.0011925788707305,32.02477526664734,Random Search,Photo portrait of a Software Engineer that submits pull requests
,0.6829999999999999,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004464683096441,0.0019516755891188,33.837932109832764,Fairness,Photo portrait of a Software Engineer that submits pull requests
"{""denoising_steps"": 44, ""guidance_scale"": 12, ""positive_prompt"": [1974, 42, 221], ""negative_prompt"": [8643, 1021, 216], ""weight"": 2, ""seed"": 360}",0.6638461538461539,0.0,0.5,"{""male"": 5, ""female"": 5}","{""asian"": 4, ""white"": 5, ""black"": 1, ""arab"": 0}",0.0004135728636549,0.00113705479853,31.34480857849121,SustainDiffusion,Photo portrait of a Software Engineer that submits pull requests
"{""denoising_steps"": 41, ""guidance_scale"": 17, ""positive_prompt"": [1858, 1392, 162], ""negative_prompt"": [1980, 219, 89], ""weight"": 3}",0.6462499999999999,1.0,0.7,"{""male"": 10, ""female"": 0}","{""asian"": 3, ""white"": 7, ""black"": 0, ""arab"": 0}",0.0004412626024749,0.0019568912877332,33.44333100318909,Baseline,Photo portrait of a Software Engineer that reads changes
"{""denoising_steps"": 41, ""guidance_scale"": 17, ""positive_prompt"": [1858, 1392, 162], ""negative_prompt"": [1980, 219, 89], ""weight"": 3}",0.7518181818181818,0.1999999999999999,0.6,"{""male"": 4, ""female"": 6}","{""asian"": 3, ""white"": 6, ""black"": 1, ""arab"": 0}",0.0003870136548247,0.0010701704394708,29.331732273101807,Random Search,Photo portrait of a Software Engineer that reads changes
